times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
2909.0,0.7967337046705586,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5954090403478612,0.5937499999999999,0.6871487971487972
2965.0,0.7967337046705586,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5954090403478612,0.5937499999999999,0.6871487971487972
2972.0,0.7967337046705586,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5954090403478612,0.5937499999999999,0.6871487971487972
3121.0,0.7906978432715391,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6642438372438373
3188.0,0.7906978432715391,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6642438372438373
3293.0,0.7906978432715391,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6642438372438373
3296.0,0.7906978432715391,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6642438372438373
3311.0,0.7906978432715391,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6642438372438373
3313.0,0.7844718760016846,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6413388773388773
3492.0,0.7844718760016846,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6413388773388773
3544.0,0.7844718760016846,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6413388773388773
3555.0,0.7844718760016846,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6413388773388773
3608.0,0.7844718760016846,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6413388773388773
3614.0,0.7844718760016846,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6413388773388773
3721.0,0.7844718760016846,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6413388773388773
3771.0,0.7844718760016846,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6413388773388773
3779.0,0.7844718760016846,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6413388773388773
3782.0,0.7844718760016846,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6413388773388773
3800.0,0.7844718760016846,0.9761904761904763,0.9615384615384612,0.5481150793650795,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5624999999999999,0.6413388773388773
3822.0,0.7777091874154634,0.9761904761904763,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5294117647058821,0.6413388773388773
3855.0,0.7777091874154634,0.9761904761904763,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5294117647058821,0.6413388773388773
3900.0,0.7777091874154634,0.9761904761904763,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5294117647058821,0.6413388773388773
3914.0,0.7777091874154634,0.9761904761904763,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5294117647058821,0.6413388773388773
3964.0,0.7777091874154634,0.9761904761904763,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5294117647058821,0.6413388773388773
3976.0,0.7707027983396488,0.9498069498069499,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.5294117647058821,0.6413388773388773
4050.0,0.7636964092638333,0.9498069498069499,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.4915966386554621,0.6413388773388773
4052.0,0.7636964092638333,0.9498069498069499,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.4915966386554621,0.6413388773388773
4066.0,0.7566251462150937,0.9498069498069499,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.45378151260504196,0.6413388773388773
4085.0,0.7566251462150937,0.9498069498069499,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.45378151260504196,0.6413388773388773
4178.0,0.7566251462150937,0.9498069498069499,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.45378151260504196,0.6413388773388773
