times,population,R0,R1,R2,R3,R4
481.0,0.8620779673650942,0.7249584947426678,0.7620163090409698,0.8953536184210524,0.9415587620119249,0.8013519610368576
486.0,0.8605412864963509,0.7249584947426678,0.7580474740980482,0.8953536184210524,0.9415587620119249,0.7950421030759375
488.0,0.8605412864963509,0.7249584947426678,0.7580474740980482,0.8953536184210524,0.9415587620119249,0.7950421030759375
490.0,0.8590018566457311,0.7177089097952407,0.7540577505501638,0.8953536184210524,0.9415587620119249,0.7950421030759375
491.0,0.8543835670938724,0.7104593248478144,0.7540577505501638,0.8953536184210524,0.938739723802308,0.7886817662513298
495.0,0.852844137243253,0.7104593248478144,0.7540577505501638,0.8953536184210524,0.935920685592691,0.7886817662513298
498.0,0.8513047073926334,0.7104593248478144,0.7500680270022791,0.8953536184210524,0.935920685592691,0.7823214294267218
500.0,0.8497652775420135,0.7032097399003875,0.7460783034543949,0.8877010233918123,0.935920685592691,0.7823214294267218
502.0,0.8482258476913944,0.7032097399003875,0.7420885799065106,0.8877010233918123,0.9331016473830748,0.7823214294267218
503.0,0.8466864178407743,0.7032097399003875,0.7380988563586255,0.8877010233918123,0.9302826091734581,0.7823214294267218
504.0,0.8451469879901549,0.7032097399003875,0.7341091328107415,0.8877010233918123,0.9302826091734581,0.7759610926021149
515.0,0.8436075581395357,0.6959601549529607,0.7301194092628571,0.8877010233918123,0.9302826091734581,0.7759610926021149
518.0,0.8420681282889158,0.6959601549529607,0.7261296857149723,0.8877010233918123,0.9274635709638418,0.7759610926021149
525.0,0.8405286984382963,0.688710570005534,0.7221399621670882,0.8800484283625728,0.9274635709638418,0.7759610926021149
526.0,0.8405286984382963,0.688710570005534,0.7221399621670882,0.8800484283625728,0.9274635709638418,0.7759610926021149
529.0,0.8389864439457487,0.688710570005534,0.718128073488382,0.8800484283625728,0.924635938125537,0.7759610926021149
530.0,0.8374413492055176,0.688710570005534,0.714116184809676,0.8800484283625728,0.9217996315668695,0.7759610926021149
533.0,0.8358962544652855,0.688710570005534,0.7101042961309698,0.8800484283625728,0.9189633250082021,0.7759610926021149
535.0,0.8343511597250545,0.688710570005534,0.7060924074522636,0.8800484283625728,0.9189633250082021,0.7696007557775074
536.0,0.832806064984823,0.688710570005534,0.7060924074522636,0.8800484283625728,0.916127018449535,0.7696007557775074
537.0,0.8312609702445911,0.6814609850581074,0.7060924074522636,0.8800484283625728,0.916127018449535,0.7696007557775074
540.0,0.8297158755043597,0.6814609850581074,0.7020805187735583,0.8723287053067608,0.916127018449535,0.7632404189528995
541.0,0.8297158755043597,0.6814609850581074,0.7020805187735583,0.8723287053067608,0.916127018449535,0.7632404189528995
542.0,0.8281678981246872,0.6814609850581074,0.6980455732633656,0.8723287053067608,0.913290711890868,0.7632404189528995
544.0,0.8250719433653425,0.6741334475843642,0.6940106277531722,0.8723287053067608,0.9104544053322005,0.7632404189528995
545.0,0.8235239659856706,0.6741334475843642,0.6940106277531722,0.8723287053067608,0.907618098773533,0.7632404189528995
546.0,0.8235239659856706,0.6741334475843642,0.6940106277531722,0.8723287053067608,0.907618098773533,0.7632404189528995
547.0,0.8219730733943604,0.6741334475843642,0.6940106277531722,0.8723287053067608,0.907618098773533,0.7568800821282924
548.0,0.8173203956204302,0.6667253877207999,0.6858935443876377,0.8723287053067608,0.9019454856561987,0.7568800821282924
550.0,0.8142186104378097,0.6667253877207999,0.6818350027048705,0.8723287053067608,0.8962728725388642,0.7568800821282924
552.0,0.8111168252551899,0.6667253877207999,0.6777764610221038,0.8723287053067608,0.8906002594215292,0.7568800821282924
553.0,0.8111168252551899,0.6667253877207999,0.6777764610221038,0.8723287053067608,0.8906002594215292,0.7568800821282924
554.0,0.8080090979553612,0.6593173278572354,0.6777764610221038,0.8723287053067608,0.8877548911805663,0.7568800821282924
557.0,0.806455234305447,0.6593173278572354,0.6737179193393368,0.8723287053067608,0.8849095229396026,0.7568800821282924
559.0,0.8049013706555328,0.6593173278572354,0.6696593776565691,0.8723287053067608,0.8820641546986396,0.7568800821282924
563.0,0.8033475070056189,0.6593173278572354,0.6656008359738025,0.8646089822509482,0.8820641546986396,0.7505197453036849
564.0,0.8017936433557047,0.6593173278572354,0.6615422942910352,0.8646089822509482,0.8792187864576764,0.7505197453036849
566.0,0.8017936433557047,0.6593173278572354,0.6615422942910352,0.8646089822509482,0.8792187864576764,0.7505197453036849
567.0,0.8017936433557047,0.6593173278572354,0.6615422942910352,0.8646089822509482,0.8792187864576764,0.7505197453036849
570.0,0.8017936433557047,0.6593173278572354,0.6615422942910352,0.8646089822509482,0.8792187864576764,0.7505197453036849
571.0,0.8002306927838613,0.6519092679936713,0.6574586998818317,0.8646089822509482,0.8792187864576764,0.7505197453036849
573.0,0.7986677422120179,0.6519092679936713,0.6574586998818317,0.8646089822509482,0.8792187864576764,0.7441050466258754
575.0,0.7971047916401741,0.6445012081301066,0.6574586998818317,0.8646089822509482,0.8792187864576764,0.7441050466258754
577.0,0.7955418410683307,0.637093148266542,0.6533751054726274,0.8646089822509482,0.8792187864576764,0.7441050466258754
578.0,0.7939788904964875,0.637093148266542,0.6492915110634238,0.8567489005941209,0.8763548816157949,0.7441050466258754
579.0,0.7924159399246442,0.6296850884029779,0.6492915110634238,0.8567489005941209,0.8763548816157949,0.7441050466258754
586.0,0.7908529893528006,0.6296850884029779,0.6452079166542198,0.8567489005941209,0.8734909767739135,0.7441050466258754
594.0,0.7877270882091136,0.6296850884029779,0.6452079166542198,0.8567489005941209,0.8706270719320318,0.7376903479480663
595.0,0.78616413763727,0.6222770285394131,0.6411243222450157,0.8567489005941209,0.8706270719320318,0.7376903479480663
596.0,0.78616413763727,0.6222770285394131,0.6411243222450157,0.8567489005941209,0.8706270719320318,0.7376903479480663
598.0,0.7845980736180723,0.6222770285394131,0.6411243222450157,0.8567489005941209,0.8677631670901497,0.7376903479480663
600.0,0.7830320095988745,0.6147797149425527,0.6411243222450157,0.8567489005941209,0.8677631670901497,0.7376903479480663
612.0,0.7814659455796772,0.6147797149425527,0.6411243222450157,0.8567489005941209,0.8648992622482683,0.7376903479480663
615.0,0.7814659455796772,0.6147797149425527,0.6411243222450157,0.8567489005941209,0.8648992622482683,0.7376903479480663
622.0,0.7798967368536138,0.6072824013456923,0.6370145509485733,0.8488888189372945,0.8648992622482683,0.7376903479480663
623.0,0.7798967368536138,0.6072824013456923,0.6370145509485733,0.8488888189372945,0.8648992622482683,0.7376903479480663
624.0,0.7767456389269324,0.5921003413120502,0.6287950083556882,0.8488888189372945,0.8648992622482683,0.7376903479480663
628.0,0.7767456389269324,0.5921003413120502,0.6287950083556882,0.8488888189372945,0.8648992622482683,0.7376903479480663
629.0,0.7751668876283004,0.5845093112952293,0.6287950083556882,0.8488888189372945,0.8648992622482683,0.7376903479480663
631.0,0.7751668876283004,0.5845093112952293,0.6287950083556882,0.8488888189372945,0.8648992622482683,0.7376903479480663
632.0,0.7735816792691423,0.5845093112952293,0.6246308030023392,0.8488888189372945,0.8648992622482683,0.7311621147803838
637.0,0.7719964709099839,0.5845093112952293,0.6246308030023392,0.8488888189372945,0.8648992622482683,0.724633881612702
646.0,0.7704080008052311,0.5845093112952293,0.6246308030023392,0.8409552785733947,0.862006622575197,0.724633881612702
648.0,0.7688195307004783,0.5768183993045024,0.6246308030023392,0.8330217382094947,0.862006622575197,0.724633881612702
650.0,0.7672310605957245,0.5691274873137762,0.6204665976489905,0.8330217382094947,0.862006622575197,0.724633881612702
651.0,0.7672310605957245,0.5691274873137762,0.6204665976489905,0.8330217382094947,0.862006622575197,0.724633881612702
652.0,0.7672310605957245,0.5691274873137762,0.6204665976489905,0.8330217382094947,0.862006622575197,0.724633881612702
657.0,0.7672310605957245,0.5691274873137762,0.6204665976489905,0.8330217382094947,0.862006622575197,0.724633881612702
662.0,0.7656293256049198,0.5691274873137762,0.6204665976489905,0.8330217382094947,0.862006622575197,0.7179243086348062
663.0,0.7656293256049198,0.5691274873137762,0.6204665976489905,0.8330217382094947,0.862006622575197,0.7179243086348062
670.0,0.7640242326791234,0.5691274873137762,0.6204665976489905,0.8330217382094947,0.8591042433746067,0.7179243086348062
675.0,0.7624191397533266,0.5691274873137762,0.6204665976489905,0.8330217382094947,0.8562018641740173,0.7179243086348062
679.0,0.7608106605555343,0.5691274873137762,0.6162457364404941,0.82493414851814,0.8562018641740173,0.7111514377986287
687.0,0.7592021813577424,0.5691274873137762,0.6162457364404941,0.82493414851814,0.853299484973427,0.7111514377986287
692.0,0.7592021813577424,0.5691274873137762,0.6162457364404941,0.82493414851814,0.853299484973427,0.7111514377986287
695.0,0.7592021813577424,0.5691274873137762,0.6162457364404941,0.82493414851814,0.853299484973427,0.7111514377986287
698.0,0.7575868575676193,0.5691274873137762,0.6120248752319974,0.82493414851814,0.853299484973427,0.7043134432044112
707.0,0.7559715337774969,0.5691274873137762,0.6120248752319974,0.82493414851814,0.853299484973427,0.6974754486101934
712.0,0.754356209987374,0.5613312203642724,0.6120248752319974,0.82493414851814,0.853299484973427,0.6974754486101934
714.0,0.7527408861972507,0.5613312203642724,0.6120248752319974,0.82493414851814,0.853299484973427,0.6906374540159762
717.0,0.7527408861972507,0.5613312203642724,0.6120248752319974,0.82493414851814,0.853299484973427,0.6906374540159762
721.0,0.7527408861972507,0.5613312203642724,0.6120248752319974,0.82493414851814,0.853299484973427,0.6906374540159762
722.0,0.7511185998045842,0.5613312203642724,0.6077449809996062,0.82493414851814,0.853299484973427,0.6837994594217588
723.0,0.7511185998045842,0.5613312203642724,0.6077449809996062,0.82493414851814,0.853299484973427,0.6837994594217588
727.0,0.7494892752930777,0.5613312203642724,0.60343473290741,0.82493414851814,0.8503570729562775,0.6837994594217588
729.0,0.7478599507815709,0.5613312203642724,0.5991244848152143,0.82493414851814,0.8474146609391278,0.6837994594217588
730.0,0.7462306262700644,0.5535349534147687,0.5991244848152143,0.82493414851814,0.8474146609391278,0.6837994594217588
731.0,0.7446013017585577,0.5535349534147687,0.5948142367230189,0.82493414851814,0.844472248921978,0.6837994594217588
732.0,0.742971977247051,0.5457386864652651,0.5948142367230189,0.82493414851814,0.844472248921978,0.6837994594217588
733.0,0.742971977247051,0.5457386864652651,0.5948142367230189,0.82493414851814,0.844472248921978,0.6837994594217588
